aircraft_code,aircraft_description,manufacturer,basic_type,engines,propulsion,wide_body,wing_span,length,weight,capacity,pay_load,cruising_speed,range_miles,pressurized
100,FOKKER 100,FOKKER,100,2,JET,NO,92,117,95000,119,27305.0,,1502.0,YES
146,BRITISH AEROSPACE 146 (ALL SERIES),BRITISH AEROSPACE,146,4,JET,NO,86,102,93000,112,23100.0,440.0,1924.0,YES
310,AIRBUS INDUSTRIE A310 (ALL SERIES),AIRBUS INDUSTRIE,A310,2,JET,YES,144,153,330695,280,79560.0,,5113.0,YES
320,AIRBUS INDUSTRIE A320 (ALL SERIES),AIRBUS INDUSTRIE,A320,2,JET,NO,111,123,162040,179,45686.0,,3305.0,YES
727,BOEING 727 PASSENGER (ALL SERIES),BOEING,727,3,JET,NO,108,133,169000,125,40900.0,,,YES
72S,BOEING 727-200 (ALL SERIES),BOEING,727,3,JET,NO,108,153,209500,189,42500.0,,,YES
733,BOEING 737-300,BOEING,737,2,JET,NO,95,110,124500,149,35600.0,,1860.0,YES
734,BOEING 737-400,BOEING,737,2,JET,NO,95,120,138500,170,40300.0,,2487.0,YES
735,BOEING 737-500,BOEING,737,2,JET,NO,95,102,60554,132,,,2996.0,YES
737,BOEING 737 PASSENGER (ALL SERIES),BOEING,737,2,JET,NO,93,94,110000,103,30000.0,,2500.0,YES
73S,BOEING 737 PASSENGER (ALL 200/200C SERIES),BOEING,737,2,JET,NO,93,100,115500,130,34493.0,541.0,2596.0,YES
744,BOEING 747-400 PASSENGER,BOEING,747,4,JET,YES,213,232,800000,592,144000.0,,8406.0,YES
747,BOEING 747 PASSENGER (ALL SERIES),BOEING,747,4,JET,YES,196,232,775000,548,203500.0,622.0,7542.0,YES
74L,BOEING 747SP,BOEING,747,4,JET,YES,196,185,630000,440,76000.0,622.0,7658.0,YES
74M,BOEING 747 MIXED CONFIGURATION (ALL SERIES),BOEING,747,4,JET,YES,196,232,775000,452,166200.0,,,YES
757,BOEING 757-200 PASSENGER,BOEING,757,2,JET,NO,125,155,220000,239,,593.0,3247.0,YES
763,BOEING 767-300/300ER,BOEING,767,2,JET,YES,156,180,300000,290,43200.0,593.0,3639.0,YES
767,BOEING 767 (ALL SERIES),BOEING,767,2,JET,YES,156,159,300000,290,43200.0,593.0,3639.0,YES
AB3,AIRBUS INDUSTRIE A300 (ALL SERIES),AIRBUS INDUSTRIE,A300,2,JET,YES,147,177,363765,375,95544.0,567.0,4272.0,YES
AT7,AEROSPATIALE/AERITALIA ATR72,AEROSPATIALE/AERITALIA,ATR72,2,TURBOPROP,NO,89,89,44070,74,15763.0,286.0,1657.0,YES
ATP,BRITISH AEROSPACE ATP,BRITISH AEROSPACE,ATP,2,TURBOPROP,NO,101,85,50550,72,14830.0,308.0,2140.0,YES
ATR,AEROSPATIALE/AERITALIA (ALL SERIES),AEROSPATIALE/AERITALIA,,2,TURBOPROP,NO,89,89,44070,74,15763.0,286.0,2785.0,YES
BE1,BEECHCRAFT 1900,BEECHCRAFT,1900,2,TURBOPROP,NO,55,58,15245,19,4000.0,303.0,860.0,YES
BE9,BEECHCRAFT C99 AIRLINER,BEECHCRAFT,C99,2,TURBOPROP,NO,46,45,11300,15,3250.0,286.0,1048.0,NO
D10,MCDONNELL DOUGLAS DC10 (ALL SERIES),MCDONNELL DOUGLAS,DC10,3,JET,YES,165,182,580000,380,106550.0,573.0,7490.0,YES
D1M,MCDONNELL DOUGLAS DC10 MIXED CONFIGURATION,MCDONNELL DOUGLAS,DC10,3,JET,YES,165,182,590000,380,106550.0,564.0,6350.0,YES
D8S,MCDONNELL DOUGLAS DC8 (ALL 60/70 SERIES),MCDONNELL DOUGLAS,DC8,4,JET,NO,148,187,350000,259,,531.0,7220.0,YES
D9S,MCDONNELL DOUGLAS DC9 (ALL 30/40 & 50 SERIES),MCDONNELL DOUGLAS,DC9,2,JET,NO,93,134,121000,139,,510.0,2065.0,YES
DC9,MCDONNELL DOUGLAS DC9 (ALL 10 & 20 SERIES),MCDONNELL DOUGLAS,DC9,2,JET,NO,93,104,98000,90,20850.0,593.0,2200.0,YES
