city_code,airport_code,miles_distant,direction,minutes_distant
BBNA,BNA,6.0,SE,15.0
BBOS,BOS,3.0,NE,30.0
BBUR,BUR,3.0,NW,
BBWI,BWI,10.0,S,25.0
CCHI,MDW,11.0,SW,45.0
CCHI,ORD,18.0,NW,60.0
CCLE,CLE,10.0,SW,45.0
CCLT,CLT,6.0,W,30.0
CCMH,CMH,7.0,E,25.0
CCVG,CVG,13.0,SW,45.0
DDEN,DEN,7.0,NE,30.0
DDFW,DAL,6.0,NW,
DDFW,DFW,13.0,NW,70.0
DDTT,DET,5.0,NE,
DDTT,DTW,20.0,SW,30.0
FDFW,DFW,17.0,E,55.0
HHOU,HOU,10.0,SE,40.0
HHOU,IAH,20.0,N,60.0
HHPN,HPN,4.0,NE,
IIND,IND,7.0,SW,15.0
JNYC,EWR,3.0,S,20.0
LLAS,LAS,7.0,S,35.0
LLAX,BUR,15.0,NW,
LLAX,LAX,17.0,SW,30.0
LLAX,LGB,22.0,SE,
LLAX,ONT,52.0,E,
LLGB,LGB,4.0,NE,
MATL,ATL,9.0,S,45.0
MMEM,MEM,10.0,SE,
MMIA,MIA,7.0,NW,30.0
MMKC,MCI,18.0,NW,30.0
MMKE,MKE,6.0,S,20.0
MMSP,MSP,10.0,SE,25.0
NNYC,EWR,16.0,SW,45.0
NNYC,HPN,,,
NNYC,JFK,15.0,SE,75.0
NNYC,LGA,8.0,NE,60.0
OOAK,OAK,10.0,SE,15.0
OONT,ONT,2.0,E,
OORL,MCO,8.0,SE,20.0
PPHL,PHL,7.0,SW,35.0
PPHX,PHX,3.0,SE,20.0
PPIT,PIT,17.0,W,55.0
SMSP,MSP,10.0,SE,25.0
SSAN,SAN,2.0,W,15.0
SSEA,SEA,12.0,S,20.0
SSFO,OAK,18.0,SE,60.0
SSFO,SFO,8.0,SE,30.0
SSJC,SJC,2.0,NW,
SSLC,SLC,3.0,W,15.0
SSTL,STL,10.0,NW,30.0
STPA,PIE,9.0,N,15.0
STPA,TPA,4.0,S,15.0
TSEA,SEA,21.0,N,60.0
TTPA,PIE,9.0,N,15.0
TTPA,TPA,4.0,S,15.0
WWAS,BWI,32.0,NE,50.0
WWAS,DCA,3.0,S,15.0
WWAS,IAD,26.0,W,45.0
YYMQ,YMX,34.0,NW,60.0
YYMQ,YUL,14.0,W,25.0
YYTO,YKZ,20.0,N,32.0
YYTO,YTZ,,,
YYTO,YYZ,18.0,NW,30.0
