city_code,airport_code,transport_type,ground_fare
BBNA,BNA,AIR TAXI OPERATION,
BBNA,BNA,LIMOUSINE,6.0
BBNA,BNA,RENTAL CAR,
BBOS,BOS,AIR TAXI OPERATION,
BBOS,BOS,LIMOUSINE,5.0
BBOS,BOS,RENTAL CAR,
BBUR,BUR,AIR TAXI OPERATION,
BBUR,BUR,RENTAL CAR,
BBWI,BWI,AIR TAXI OPERATION,
BBWI,BWI,LIMOUSINE,5.0
BBWI,BWI,RENTAL CAR,
CCHI,MDW,AIR TAXI OPERATION,
CCHI,MDW,LIMOUSINE,10.0
CCHI,MDW,RENTAL CAR,
CCHI,ORD,AIR TAXI OPERATION,
CCHI,ORD,LIMOUSINE,13.0
CCHI,ORD,RAPID TRANSIT,2.0
CCHI,ORD,RENTAL CAR,
CCLE,CLE,AIR TAXI OPERATION,
CCLE,CLE,LIMOUSINE,6.0
CCLE,CLE,RAPID TRANSIT,1.0
CCLE,CLE,RENTAL CAR,
CCLT,CLT,RENTAL CAR,
CCMH,CMH,AIR TAXI OPERATION,
CCMH,CMH,LIMOUSINE,4.0
CCMH,CMH,RENTAL CAR,
CCVG,CVG,AIR TAXI OPERATION,
CCVG,CVG,LIMOUSINE,17.0
CCVG,CVG,RENTAL CAR,
DDEN,DEN,AIR TAXI OPERATION,
DDEN,DEN,LIMOUSINE,5.0
DDEN,DEN,RENTAL CAR,
DDFW,DFW,LIMOUSINE,6.0
DDFW,DFW,RENTAL CAR,
DDTT,DTW,AIR TAXI OPERATION,
DDTT,DTW,LIMOUSINE,5.0
DDTT,DTW,RENTAL CAR,
FDFW,DFW,LIMOUSINE,6.0
FDFW,DFW,RENTAL CAR,
HHOU,HOU,AIR TAXI OPERATION,
HHOU,HOU,LIMOUSINE,5.0
HHOU,HOU,RENTAL CAR,
HHOU,IAH,AIR TAXI OPERATION,
HHOU,IAH,LIMOUSINE,10.0
HHOU,IAH,RENTAL CAR,
HHPN,HPN,AIR TAXI OPERATION,
HHPN,HPN,RENTAL CAR,
IIND,IND,AIR TAXI OPERATION,
IIND,IND,LIMOUSINE,6.0
IIND,IND,RENTAL CAR,
JNYC,EWR,AIR TAXI OPERATION,
JNYC,EWR,LIMOUSINE,1.0
JNYC,EWR,RAPID TRANSIT,3.0
JNYC,EWR,RENTAL CAR,
LLAS,LAS,LIMOUSINE,4.0
LLAX,BUR,AIR TAXI OPERATION,
LLAX,BUR,RENTAL CAR,
LLAX,LAX,AIR TAXI OPERATION,
LLAX,LAX,LIMOUSINE,6.0
LLAX,LAX,RENTAL CAR,
LLAX,LGB,AIR TAXI OPERATION,
LLAX,LGB,RENTAL CAR,
LLAX,ONT,AIR TAXI OPERATION,
LLAX,ONT,RENTAL CAR,
LLGB,LGB,AIR TAXI OPERATION,
LLGB,LGB,RENTAL CAR,
MATL,ATL,AIR TAXI OPERATION,
MATL,ATL,LIMOUSINE,9.0
MATL,ATL,RAPID TRANSIT,1.0
MATL,ATL,RENTAL CAR,
MMEM,MEM,AIR TAXI OPERATION,
MMEM,MEM,LIMOUSINE,8.0
MMEM,MEM,RENTAL CAR,
MMIA,MIA,AIR TAXI OPERATION,
MMIA,MIA,LIMOUSINE,7.0
MMIA,MIA,RENTAL CAR,
MMKC,MCI,AIR TAXI OPERATION,
MMKC,MCI,LIMOUSINE,9.0
MMKC,MCI,RENTAL CAR,
MMKE,MKE,LIMOUSINE,7.0
MMKE,MKE,RENTAL CAR,
MMSP,MSP,AIR TAXI OPERATION,
MMSP,MSP,LIMOUSINE,8.0
MMSP,MSP,RENTAL CAR,
NNYC,EWR,AIR TAXI OPERATION,
NNYC,EWR,LIMOUSINE,5.0
NNYC,EWR,RENTAL CAR,
NNYC,HPN,AIR TAXI OPERATION,
NNYC,HPN,RENTAL CAR,
NNYC,JFK,AIR TAXI OPERATION,
NNYC,JFK,LIMOUSINE,8.0
NNYC,JFK,RAPID TRANSIT,7.0
NNYC,JFK,RENTAL CAR,
